UniProtID 1,UniProtID 2,DG (kJ/mol),pair
O94813,Q9Y6N7,-46.47,"('O94813', 'Q9Y6N7')"
P17342,P01160,-51.83,"('P01160', 'P17342')"
Q16620,Q8WU20,-30.37,"('Q16620', 'Q8WU20')"
Q14653,Q92793,-30,"('Q14653', 'Q92793')"
P61006,Q6ZW33,-37.91,"('P61006', 'Q6ZW33')"
Q9UM54,P0CG47,-31.66,"('P0CG47', 'Q9UM54')"
Q9UGI8,Q8N8S7,-31.29,"('Q8N8S7', 'Q9UGI8')"
P07355,P26447,-29.36,"('P07355', 'P26447')"
B2RA72,Q9UBP0,-28.28,"('B2RA72', 'Q9UBP0')"
Q15762,P15151,-33.02,"('P15151', 'Q15762')"
P0C0L4,O00187,-44.16,"('O00187', 'P0C0L4')"
P67775,P78318,-37.49,"('P67775', 'P78318')"
P16860,P17342,-42.19,"('P16860', 'P17342')"
P04049,P63104,-37.13,"('P04049', 'P63104')"
P01903,D0AB36,-25.38,"('D0AB36', 'P01903')"
Q8N300,Q86V25,-44.51,"('Q86V25', 'Q8N300')"
P15151,P40200,-28.69,"('P15151', 'P40200')"
P01033,P03956,-54.01,"('P01033', 'P03956')"
P04637,P09429,-37.13,"('P04637', 'P09429')"
Q9NP79,Q9NZZ3,-58.03,"('Q9NP79', 'Q9NZZ3')"
Q14974,P12272,-49.87,"('P12272', 'Q14974')"
P04049,P62834,-36.52,"('P04049', 'P62834')"
P49336,P24863,-46.85,"('P24863', 'P49336')"
Q9BPZ3,P11940,-37.1,"('P11940', 'Q9BPZ3')"
P36404,Q9Y2Y0,-44.25,"('P36404', 'Q9Y2Y0')"
P61769,P18465,-31.74,"('P18465', 'P61769')"
Q12972,P62136,-44.54,"('P62136', 'Q12972')"
Q8N2Z9,A8MT69,-34.09,"('A8MT69', 'Q8N2Z9')"
P12004,P38936,-37.94,"('P12004', 'P38936')"
O60674,P48357,-27.17,"('O60674', 'P48357')"
Q8NB78,P84243,-35.23,"('P84243', 'Q8NB78')"
P05230,Q99584,-33.75,"('P05230', 'Q99584')"
P98170,Q15750,-30.9,"('P98170', 'Q15750')"
P01033,P09238,-51.49,"('P01033', 'P09238')"
Q14006,P01024,-25.68,"('P01024', 'Q14006')"
P81274,Q14CM0,-43.01,"('P81274', 'Q14CM0')"
Q14203,P30622,-32.4,"('P30622', 'Q14203')"
Q9Y376,O00506,-36.19,"('O00506', 'Q9Y376')"
